Type_of_payment_code,Vehicle_code,id,
PTE,VC965,PC2F353E1,
PTP,VCB43,PC5D4DE09,
PTC,VCB43,PC2C1B987,
PTE,VC965,PC124B4C0,
PTC,VCD2F,PC0BD172F,
PTP,VC965,PC120EEFD,
PTC,VCB43,PC84E8CEF,
PTP,VC965,PCDD56814,
PTC,VCB43,PC871C1FC,
PTE,VC965,PCE62BBA9,
PTC,VC965,PCE6EEF2E,
PTE,VC965,PC680DEC6,
PTC,VCB43,PC6594AD4,
PTC,VCB43,PCECEBBFA,
PTP,VC965,PCCE002E5,
PTE,VCD2F,PC0954183,
PTC,VC965,PC34ECAB5,
PTE,VCB43,PC6C57ED3,
PTC,VCB43,PC3415EA4,
PTC,VC965,PCDEB8E32,
PTE,VC965,PC1D57D7F,
PTC,VC965,PC3137434,
PTC,VC965,PC05BD3DF,
PTP,VC965,PC10C700F,
PTE,VC965,PCB6F1968,
PTP,VC965,PCE60D320,
PTC,VC965,PC400DFFE,
PTC,VCB43,PC07289CF,
PTC,VC965,PC05C2F86,
PTP,VCB43,PCD6E5E77,
PTP,VC965,PC628DCED,
PTC,VC965,PCF764517,
PTC,VC965,PC10C700F,
PTC,VCB43,PCF984421,
PTE,VCD2F,PCDE89544,
PTC,VC965,PCDF9F773,
PTP,VC965,PCB077F18,
PTP,VCB43,PC2308E9E,
PTE,VC965,PC71FE98A,
PTC,VCD2F,PCDFBBEBB,
PTP,VCB43,PC72FE04B,
PTE,VC965,PC8DFFE65,
PTE,VCB43,PC883FCA9,
PTP,VCB43,PCECEBBFA,
PTC,VC965,PC79BCF60,
PTC,VCD2F,PC14FBE4A,
PTP,VC965,PCF514246,
PTP,VC965,PC3FAA264,
PTP,VCB43,PC5212DD0,
PTP,VCB43,PC214FB8E,
PTP,VCB43,PCCA5979C,
PTE,VC965,PCC1F6F13,
PTP,VC965,PCBEB4D23,
PTC,VCB43,PC821BC98,
PTE,VCB43,PC88C655C,
PTE,VC965,PC5549650,
PTE,VCD2F,PC8473A64,
PTP,VCB43,PCDE850D8,
PTP,VC965,PC883FCA9,
PTP,VC965,PC49BFB36,
PTP,VC965,PCAC34A40,
PTC,VCB43,PC97F19B1,
PTE,VC965,PC95BD14B,
PTE,VCB43,PC818101A,
PTE,VC965,PCDE1D204,
PTP,VC965,PCE45DE8D,
PTE,VCD2F,PC5F47DCF,
PTE,VCB43,PCF984421,
PTC,VCD2F,PC78EF0B5,
PTP,VCD2F,PCFDB2BA6,
PTP,VCB43,PC65E7991,
PTP,VC965,PC3E35002,
PTC,VCB43,PC03A5F23,
PTE,VCD2F,PC59A33DE,
PTE,VCB43,PC0EB640E,
PTC,VC965,PC63844BC,
PTC,VC965,PC0F6325D,
PTE,VC965,PCC1ED0C5,
PTP,VC965,PC7ACFF7C,
PTE,VC965,PC4C76F48,
PTC,VC965,PC39B17A9,
PTP,VC965,PC8A7A22A,
PTC,VCB43,PC9A343F9,
PTC,VCD2F,PC7607A5D,
PTP,VC965,PCC347465,
PTC,VCD2F,PC0EC3E54,
PTP,VC965,PCEB27C63,
PTC,VC965,PCE952492,
PTC,VC965,PC99B9343,
PTE,VC965,PCA0BAE0F,
PTE,VC965,PC400DFFE,
PTE,VC965,PCE952492,
PTP,VC965,PC419B1CB,
PTC,VC965,PC787D664,
PTC,VC965,PC251D4C1,
PTC,VC965,PC3CCA187,
PTC,VC965,PCDE5402C,
PTE,VCB43,PCED7EAFE,
PTP,VC965,PC6906524,
PTP,VCB43,PCC3A370A,
PTE,VCD2F,PC7D7AE48,
PTP,VCB43,PC7FEC2CE,
PTP,VC965,PC9B747F8,
PTC,VCD2F,PC40FC710,
PTE,VC965,PCC30C735,
PTC,VC965,PC96AD1EB,
PTP,VC965,PCA10FFA0,
PTP,VCD2F,PCA76178F,
PTP,VCB43,PC2F1A066,
PTP,VC965,PC5680D80,
PTE,VC965,PC1B1D964,
PTP,VCD2F,PC7AA5B2F,
PTE,VC965,PCE9C770E,
PTC,VC965,PC96AD1EB,
PTC,VC965,PC97F19B1,
PTE,VC965,PCC0E943C,
PTE,VCB43,PCAF6E464,
PTP,VC965,PCB278A8B,
PTC,VCB43,PC6A1B37B,
PTC,VCB43,PC126524C,
PTC,VC965,PCACF7982,
PTP,VC965,PCCE002E5,
PTP,VCB43,PC4486317,
PTC,VCD2F,PCBDB8BB6,
PTC,VCB43,PCF6EECB2,
PTC,VCB43,PC9F3C86B,
PTP,VC965,PCFB11406,
PTE,VC965,PC953B572,
PTE,VCB43,PC41EEC34,
PTP,VC965,PCE4A44BE,
PTE,VC965,PCFC754C7,
PTC,VC965,PC8D90EF0,
PTP,VC965,PC85A4D4B,
PTC,VC965,PC46C55B4,
PTP,VCB43,PC53A52CB,
PTE,VCB43,PCF263A5E,
PTP,VC965,PC546F252,
PTP,VCD2F,PC48664B7,
PTP,VC965,PC4645718,
PTE,VC965,PC434FA62,
PTE,VC965,PC374C341,
PTP,VC965,PCFCB0018,
PTP,VC965,PC65485BB,
PTE,VCB43,PC818101A,
PTP,VC965,PC6D2FAD0,
PTC,VCB43,PCE36723C,
PTC,VCD2F,PCDD316EB,
PTP,VCB43,PCB6F1968,
PTC,VC965,PCCE9B069,
PTC,VC965,PCEC030F2,
PTP,VCB43,PCDBC3AC9,
PTE,VC965,PC3FB1BB6,
PTP,VC965,PC3D30AD0,
PTP,VC965,PCD0DDD3D,
PTP,VC965,PC10C50DC,
PTC,VCB43,PC71D433F,
PTP,VC965,PCD987A9D,
PTE,VC965,PCC72D8B8,
PTE,VC965,PCF0FC9B2,
PTP,VC965,PC51FDD60,
PTP,VC965,PCFB11406,
PTC,VC965,PCDADB8C6,
PTC,VC965,PCCC28F87,
PTE,VC965,PC845CEA6,
PTP,VC965,PCA6403C1,
PTP,VC965,PC795E7B9,
PTC,VCB43,PC81E83B9,
PTE,VCB43,PC30AAE76,
PTC,VCB43,PCAC9371E,
PTC,VC965,PCF5E0389,
PTE,VC965,PC2294422,
PTP,VCB43,PC3A63A79,
PTP,VC965,PC8F4AF85,
PTC,VC965,PCAC7E4C1,
PTE,VCB43,PC8E2A7E0,
PTC,VC965,PCCE9B069,
PTE,VC965,PCC8441A8,
PTC,VCB43,PCD66314D,
PTE,VCB43,PCF4A2DA9,
PTC,VCB43,PCAA68777,
PTE,VC965,PC40C93B0,
PTE,VCD2F,PC652EEF2,
PTP,VCD2F,PC12BE494,
PTE,VCB43,PCC8441A8,
PTP,VCD2F,PCA06B2F1,
PTC,VC965,PCC591410,
PTP,VC965,PC46C4A27,
PTE,VCB43,PC251D4C1,
PTP,VC965,PC2125618,
PTC,VCB43,PC2A27502,
PTC,VC965,PC93E7766,
PTC,VC965,PC40C2E00,
PTC,VC965,PC7F1A5B9,
PTC,VC965,PCE45DE8D,
PTP,VC965,PC0DB49FD,
PTC,VCB43,PC578D797,
PTP,VC965,PC0567192,
PTP,VC965,PC0BF2899,
PTP,VC965,PC074E6A8,
PTC,VCD2F,PC14008D5,
PTC,VC965,PCBF83C7A,
PTC,VC965,PCAC34A40,
PTP,VC965,PCC932802,
PTP,VC965,PC4C76F48,
PTE,VC965,PC1AB9C93,
PTE,VC965,PCD8346A6,
PTE,VCD2F,PC0553E32,
PTC,VC965,PCA214501,
PTC,VC965,PC3137434,
PTE,VCB43,PCCF6A454,
PTC,VC965,PC25E70B7,
PTE,VC965,PC3338D42,
PTP,VCD2F,PC1A58039,
PTP,VC965,PC7ACFF7C,
PTP,VC965,PCEECA8B2,
PTC,VC965,PC2387B02,
PTP,VC965,PCA4D3E9B,
PTP,VC965,PC3DE08BF,
PTP,VC965,PC9889263,
PTE,VC965,PCB2CC82C,
PTP,VC965,PC8DA1D3B,
PTC,VCB43,PC3777B8E,
PTE,VCB43,PC3547FAD,
PTE,VC965,PC6397888,
PTC,VC965,PC4BFE950,
PTE,VC965,PC19C02F1,
PTE,VCB43,PCFBEFA9E,
PTP,VC965,PC5D33C18,
PTE,VCB43,PC99AE725,
PTC,VC965,PC70CA955,
PTC,VC965,PC96978C6,
PTC,VC965,PC974552B,
PTC,VCD2F,PC2CE9851,
PTP,VCB43,PCF6F4CA1,
PTE,VC965,PCB500A9F,
PTE,VC965,PC7DC0964,
PTE,VC965,PC871C1FC,
PTE,VC965,PC6BCA05F,
PTP,VCB43,PCBDB8BB6,
PTP,VC965,PC74A3585,
PTP,VC965,PCC347465,
PTE,VCB43,PC4F78F1B,
PTC,VC965,PC12BE494,
PTP,VC965,PCA6127FF,
PTC,VC965,PC905B5D4,
PTC,VCD2F,PC8AEC6E8,
PTC,VCB43,PC57279D0,
PTC,VCB43,PCB6F1968,
PTP,VC965,PCBB65EF4,
PTE,VCD2F,PC576A3BA,
PTP,VCB43,PC3D58C5E,
PTE,VC965,PCC591410,
PTC,VCD2F,PCCEEF65A,
PTP,VCB43,PCBB65EF4,
PTC,VCD2F,PCE60D320,
PTC,VC965,PCF1979AE,
PTE,VC965,PCD51A740,
PTC,VC965,PC2D22627,
PTE,VC965,PC3415EA4,
PTE,VC965,PC07BF95F,
PTE,VCB43,PC6C80A46,
PTP,VCB43,PC9F22103,
PTE,VC965,PCBE6ABE5,
PTP,VC965,PC0A63844,
PTE,VC965,PCD66314D,
PTE,VC965,PC800C92D,
PTC,VC965,PC818101A,
PTP,VC965,PCD6DBA1D,
PTC,VC965,PCCA71D2C,
PTC,VCD2F,PCB2CC82C,
PTP,VC965,PC3A63A79,
PTP,VC965,PC922BA3E,
PTP,VC965,PC69F3F14,
PTC,VC965,PC5E92F61,
PTC,VC965,PC5ABB8E4,
PTE,VCB43,PC89FB76E,
PTC,VCB43,PC16F5A24,
PTE,VC965,PC845CEA6,
PTE,VC965,PC3B970F2,
PTP,VC965,PC92C5115,
PTP,VCB43,PCECC4DE2,
PTP,VC965,PCD3A817A,
PTE,VC965,PC4779D38,
PTP,VCD2F,PCCA817EB,
PTC,VC965,PC76FDDEA,
PTE,VCB43,PCE7A4F34,
PTP,VC965,PC4645718,
PTP,VC965,PC81E83B9,
PTC,VCB43,PC9194382,
PTC,VC965,PCB1132AC,
PTP,VC965,PC7655FC1,
PTP,VCB43,PC5149039,
PTC,VC965,PC3743587,
PTE,VC965,PCFF0FEB0,
PTP,VC965,PCE01E4DF,
PTE,VC965,PC5EC8DF5,
PTE,VC965,PC10C50DC,
PTP,VC965,PC3B3BE8F,
PTE,VC965,PC4486317,
PTP,VCB43,PC7655FC1,
PTP,VC965,PCF6EECB2,
PTP,VC965,PC40BD0F3,
PTP,VCB43,PC66E7418,
PTE,VC965,PC86E9EB7,
PTP,VC965,PCFCB0018,
PTE,VC965,PC4486317,
PTP,VC965,PC4A40D50,
PTC,VC965,PC4C9B108,
PTE,VC965,PC0DB49FD,
PTC,VC965,PC8453073,
PTP,VC965,PCC943ECD,
PTE,VC965,PC879E7AB,
PTP,VC965,PC89C0554,
PTP,VC965,PC795A0A3,
PTE,VCB43,PC7688C61,
PTP,VC965,PC2A27502,
PTE,VC965,PC6B14C5D,
PTE,VCB43,PCFB11406,
PTE,VC965,PC74CE451,
PTC,VCB43,PCE36723C,
PTP,VCD2F,PCA4DF48A,
PTE,VCD2F,PC9C3D708,
PTC,VCD2F,PC2111CF9,
PTC,VC965,PC8806694,
PTE,VC965,PC434FA62,
PTP,VC965,PC684859B,
PTC,VC965,PC2AFCB31,
PTC,VC965,PCE7F2748,
PTE,VC965,PC7241796,
PTP,VC965,PCB4FF8FA,
PTP,VCB43,PCB30E45F,
PTE,VCB43,PC7688C61,
PTC,VCB43,PCBE6ABE5,
PTE,VCB43,PC259547F,
PTP,VC965,PC3863F6A,
PTC,VC965,PC46C4A27,
PTE,VC965,PC8C7C5D7,
PTC,VCB43,PC9AF321D,
PTC,VC965,PC454F09B,
PTE,VCD2F,PC51FDD60,
PTC,VCD2F,PC77793DF,
PTP,VC965,PC1D9ADA9,
PTP,VCB43,PC11E9595,
PTP,VC965,PC434FA62,
PTC,VC965,PC851E565,
PTC,VCB43,PC2C5C1F3,
PTP,VC965,PC13CB69B,
PTC,VC965,PCEC57A8E,
PTC,VCD2F,PC34ECAB5,
PTC,VC965,PCA283923,
PTC,VC965,PC6E93A05,
PTP,VC965,PCEC030F2,
PTP,VC965,PCE9CE23F,
PTP,VC965,PC8C9B099,
PTE,VC965,PC95F5F6B,
PTP,VCB43,PC119E3A6,
PTE,VC965,PC1ECBA39,
PTC,VCB43,PCF2ECD29,
PTP,VCB43,PC400DFFE,
PTC,VC965,PC0D2B95C,
PTC,VCB43,PC77793DF,
PTE,VCD2F,PC3AA93E6,
PTP,VC965,PC8473A64,
PTP,VC965,PC4E6422C,
PTP,VC965,PC99B9343,
PTP,VC965,PC374C341,
PTC,VC965,PCFBF2259,
PTP,VCB43,PCA52F720,
PTC,VC965,PC19CE0DB,
PTP,VCB43,PC94168A2,
PTP,VCD2F,PCF1979AE,
PTP,VC965,PC90346C9,
PTP,VCB43,PCA6127FF,
PTC,VC965,PC419B1CB,
PTP,VCB43,PC585BD38,
PTC,VC965,PCC0E943C,
PTP,VCB43,PC69C7DF3,
PTE,VC965,PCEDD7E85,
PTE,VC965,PC5E524A1,
PTE,VC965,PCB4FF8FA,
PTP,VC965,PC8DFFE65,
PTE,VCB43,PCBE8B2AB,
PTE,VC965,PCE9C770E,
PTE,VC965,PCBB055C6,
PTP,VC965,PC0567192,
PTC,VCB43,PCFDB2BA6,
PTP,VCB43,PC5EC8DF5,
PTE,VCB43,PCB500A9F,
PTP,VCB43,PC8806694,
PTE,VC965,PC576AD85,
PTP,VC965,PCE45DE8D,
PTE,VC965,PCE4C5D8E,
PTE,VCB43,PCE450C55,
PTC,VC965,PC7368097,
PTC,VC965,PC126524C,
PTE,VC965,PCF4A9637,
PTP,VC965,PC03AE86F,
PTE,VCB43,PCE78024A,
PTP,VC965,PC40BD0F3,
PTE,VCD2F,PC52EA95D,
PTP,VCD2F,PC4CD2B81,
PTE,VC965,PC869BDE8,
PTE,VC965,PC46C4A27,
PTE,VC965,PCF86214E,
PTC,VCB43,PC6700C62,
PTE,VCB43,PCB0994D1,
PTP,VCD2F,PC57036DA,
PTC,VC965,PC68969FB,
PTC,VCB43,PCB99E8F9,
PTC,VC965,PCC695DB0,
PTP,VC965,PC75BC2DF,
PTE,VC965,PC10C50DC,
PTE,VCB43,PC93E7766,
PTC,VC965,PC8C9B099,
PTE,VC965,PCB02917E,
PTC,VC965,PCCAFD014,
PTP,VC965,PCA283923,
PTC,VC965,PCCA36E4D,
PTC,VCB43,PC34ECAB5,
PTC,VC965,PC1D57D7F,
PTC,VCB43,PC21A1833,
PTE,VC965,PC29D136F,
PTE,VCD2F,PC48664B7,
PTE,VC965,PCCCAD2AC,
PTC,VCB43,PCB524A9F,
PTE,VC965,PC76FDDEA,
PTC,VC965,PCF9CCB5A,
PTE,VCD2F,PC1A58039,
PTC,VCB43,PC0AE9E1B,
PTC,VCB43,PC924C594,
PTE,VC965,PCC825DB2,
PTP,VCB43,PC96AD1EB,
PTC,VC965,PC71D433F,
PTE,VC965,PC2804C85,
PTP,VC965,PCB524A9F,
PTE,VC965,PC2C2EF9E,
PTP,VCB43,PC16E79D4,
PTC,VC965,PC883FCA9,
PTE,VC965,PCCE12794,
PTP,VC965,PC88494D0,
PTC,VCD2F,PC1085B78,
PTP,VCD2F,PC1E0F3B6,
PTE,VCD2F,PC119E3A6,
PTP,VC965,PC4A5D62F,
PTC,VC965,PC99A4177,
PTE,VC965,PCE1DDBB4,
PTE,VC965,PCB7F1F8A,
PTC,VC965,PC40E6113,
PTC,VC965,PCA92F2BD,
PTP,VCD2F,PC4A40D50,
PTC,VC965,PCF7F25B7,
PTE,VCB43,PCF775FA6,
PTE,VC965,PC340B4DE,
PTC,VC965,PC8CA1B15,
PTP,VC965,PC13CB69B,
PTE,VC965,PCA965149,
PTE,VCB43,PC6802C08,
PTP,VC965,PC5EC8DF5,
PTC,VC965,PC6BCA05F,
PTP,VC965,PCE29AA1A,
PTC,VC965,PCC48608C,
PTE,VCD2F,PC78D4122,
PTE,VCD2F,PCC6DD8D5,
PTP,VCB43,PC03A5F23,
PTP,VC965,PCB99E8F9,
PTE,VCB43,PC2C2EF9E,
PTC,VC965,PCB616FAD,
PTP,VC965,PCEBBFFB5,
PTP,VC965,PC5738A82,
PTC,VC965,PCC3E4ADA,
PTC,VC965,PCFDB2BA6,
PTP,VCB43,PC7F7FFF0,
PTC,VC965,PC3AF69A3,
PTC,VCD2F,PCFE28E92,
PTE,VC965,PC397AFA3,
PTP,VC965,PC6A4F55F,
PTC,VC965,PC05BD3DF,
PTC,VC965,PCA6403C1,
PTE,VC965,PC4E1366E,
PTP,VCB43,PC5E524A1,
PTC,VC965,PCF135377,
PTE,VCD2F,PC4645718,
PTC,VC965,PC5ABB8E4,
PTP,VCB43,PCD987A9D,
PTC,VC965,PC30AAE76,
PTP,VC965,PCAD363FC,
PTE,VCB43,PC79BCF60,
PTP,VCB43,PC77793DF,
PTE,VCB43,PC0214185,
PTC,VC965,PC6558A56,
PTE,VC965,PC05C2F86,
PTC,VCD2F,PC48D61BB,
PTP,VC965,PC494D54E,
PTC,VC965,PC9FB4E82,
PTP,VC965,PCE0A2A2F,
PTE,VC965,PC2EFBBE0,
PTC,VC965,PCAA9F518,
PTP,VCB43,PC8140983,
PTC,VC965,PC20BD6E6,
PTE,VC965,PCAD79413,
PTP,VC965,PC5A6D86E,
PTP,VCB43,PCCE002E5,
PTE,VC965,PC0A5DC1F,
PTC,VC965,PC3A23C14,
PTC,VC965,PC52E7369,
PTE,VCD2F,PCCC0D001,
PTC,VCB43,PC8FC83B3,
PTP,VC965,PCF9CCB5A,
PTP,VC965,PCF6EECB2,
PTC,VC965,PC85A4D4B,
PTE,VC965,PC394C979,
PTE,VC965,PC3A63A79,
PTP,VCD2F,PCC30C735,
PTP,VC965,PCA06B2F1,
PTP,VC965,PCDBBCB68,
PTC,VCD2F,PC3D58C5E,
PTP,VC965,PC19C02F1,
PTC,VC965,PC4B0DCD2,
PTC,VCD2F,PC0A5DC1F,
PTP,VC965,PCC48E3A8,
PTE,VC965,PC99BB7A3,
PTP,VCB43,PC637A425,
PTE,VCD2F,PC99F9ABD,
PTE,VC965,PC12AA919,
PTP,VC965,PCAD363FC,
PTC,VC965,PC7F7FFF0,
PTE,VC965,PC356AE8F,
PTP,VCB43,PC7ACFF7C,
PTP,VCB43,PC45EBEBC,
PTP,VCD2F,PC81E83B9,
PTC,VCD2F,PC81E83B9,
PTP,VCB43,PCF891CEB,
PTP,VC965,PCBA86754,
PTC,VC965,PCB33ACE8,
PTE,VC965,PCE4A44BE,
PTE,VCD2F,PC7655FC1,
PTP,VC965,PC7305E43,
PTP,VC965,PC06E9A80,
PTC,VCB43,PC3546931,
PTE,VC965,PCAC34A40,
PTE,VCB43,PC2E0C888,
PTC,VC965,PCCEEF65A,
PTE,VC965,PC1A3D20B,
PTE,VC965,PC948D5B2,
PTE,VCD2F,PC1D9ADA9,
PTC,VC965,PC124B4C0,
PTE,VC965,PC41B834E,
PTP,VCB43,PCCCADDBD,
PTP,VC965,PC29D136F,
PTE,VC965,PC57279D0,
PTP,VCB43,PCB325DCD,
PTP,VC965,PC76EDF79,
PTE,VC965,PC0BD172F,
PTC,VCB43,PCAA68777,
PTC,VC965,PC44877F1,
PTE,VCB43,PC6A4F55F,
PTC,VC965,PC7A54E18,
PTP,VCD2F,PCB6F1968,
PTP,VC965,PC0EB640E,
PTP,VCB43,PC395ADCB,
PTE,VCB43,PC0214185,
PTE,VCD2F,PCC48608C,
PTE,VC965,PCFAB001F,
PTC,VC965,PC3547FAD,
PTC,VC965,PC5B45CE7,
PTP,VC965,PC867796D,
PTE,VC965,PC71FE98A,
PTE,VC965,PC3BDDA71,
PTP,VC965,PC0AE9E1B,
PTC,VC965,PCDADB8C6,
PTP,VC965,PC89A3BCF,
PTC,VC965,PC75BC2DF,
PTC,VC965,PCD0DDD3D,
PTE,VC965,PC4FA703F,
PTC,VC965,PCB7E7138,
PTP,VC965,PC74F6341,
PTP,VCD2F,PCACD9839,
PTE,VC965,PCB7AC8AA,
PTE,VC965,PC6C80A46,
PTE,VC965,PCDE20E6F,
PTP,VC965,PCCB4C86D,
PTC,VC965,PC119E3A6,
PTP,VC965,PCC1F6F13,
PTE,VCD2F,PC1DA31F7,
PTP,VCB43,PCB335328,
PTP,VC965,PC99BB7A3,
PTE,VC965,PCFE28E92,
PTE,VCB43,PC1AB9C93,
PTE,VC965,PC7A3A5CF,
PTP,VC965,PC08910B7,
PTP,VC965,PCEF64195,
PTP,VC965,PC1B1D964,
PTE,VC965,PCA3797CA,
PTC,VC965,PCE5E04A2,
PTP,VC965,PC71FE98A,
PTP,VC965,PC2BE6D87,
PTE,VCB43,PC74A3585,
PTP,VC965,PCDFCFF53,
PTE,VC965,PC73BE1E2,
PTC,VC965,PCA857A23,
PTE,VC965,PC1DEB043,
PTP,VC965,PC6B14C5D,
PTE,VC965,PC7E79FA0,
PTC,VC965,PC83F544D,
PTP,VC965,PC23E470D,
PTP,VCB43,PC9DFEBB0,
PTC,VCD2F,PCAA68777,
PTP,VC965,PC07289CF,
PTP,VC965,PC93E7766,
PTC,VC965,PCECEBBFA,
PTE,VC965,PC40E6113,
PTE,VC965,PCF9CCB5A,
PTC,VC965,PC7C55512,
PTE,VCB43,PC526B1EC,
PTP,VC965,PCDC5C9E2,
PTP,VCB43,PC0D83A1E,
PTP,VC965,PC87C8BC4,
PTE,VC965,PC98F856D,
PTP,VC965,PC174C464,
PTC,VCB43,PC87C8BC4,
PTP,VCB43,PC948D5B2,
PTC,VC965,PC8A7A22A,
PTP,VCB43,PC5F47DCF,
PTE,VC965,PC3FD65C8,
PTC,VCB43,PC08F56A1,
PTC,VC965,PC7D7AE48,
PTC,VC965,PCDFC1E11,
PTE,VCB43,PC9F22103,
PTE,VCB43,PCBB02F92,
PTE,VC965,PCE32D2F9,
PTE,VC965,PC8616CD8,
PTC,VC965,PCF8D98DC,
PTC,VC965,PC93E7766,
PTE,VC965,PCCB12F8C,
PTE,VCD2F,PCB1B5BEC,
PTP,VCB43,PCD175301,
PTC,VC965,PCCA5979C,
PTE,VC965,PC262D624,
PTE,VC965,PCC6A4CD8,
PTE,VC965,PC19F3DBB,
PTP,VCB43,PC03C5C15,
PTP,VC965,PC578F087,
PTE,VCB43,PC1585DF2,
PTP,VCB43,PCC3608EC,
PTP,VC965,PC0A63844,
PTC,VC965,PC7AA5B2F,
PTE,VC965,PC3C8B99E,
PTC,VC965,PC0B2B03E,
PTE,VCB43,PCB6A16D7,
PTP,VC965,PC70B7987,
PTP,VC965,PC4B0DCD2,
PTE,VC965,PC85224D1,
PTC,VCD2F,PC419F41D,
PTP,VCD2F,PC3546931,
PTE,VC965,PC4D892D7,
PTC,VC965,PC5F1CD83,
PTP,VCB43,PCBB02F92,
PTE,VCB43,PCFFF6463,
PTC,VC965,PC4CBEFF5,
PTC,VCB43,PC52C0F45,
PTP,VC965,PC14008D5,
PTC,VC965,PC2C1B987,
PTE,VC965,PC795A0A3,
PTP,VC965,PCD51A740,
PTP,VC965,PC5EBC1E1,
PTE,VC965,PCAE085FE,
PTP,VCB43,PC5F47DCF,
PTC,VC965,PC485BE5B,
PTE,VC965,PCC5E1C04,
PTE,VCB43,PC52F533C,
PTP,VCD2F,PCA227C6B,
PTE,VCD2F,PC1EEDA04,
PTE,VCB43,PCAC7E4C1,
PTC,VCB43,PC30AAE76,
PTE,VC965,PCA579A65,
PTE,VC965,PC28E44E2,
PTE,VCB43,PCA6127FF,
PTC,VC965,PCB278A8B,
PTE,VCB43,PCBD66B01,
PTE,VC965,PC8ED616E,
PTC,VCD2F,PCA770E5A,
PTP,VC965,PC186BCA8,
PTP,VC965,PC76FDDEA,
PTP,VC965,PC4C9B108,
PTE,VC965,PCF0B5E85,
PTC,VC965,PCA10FFA0,
PTC,VCB43,PCDFCFF53,
PTP,VCB43,PCD9CAD56,
PTE,VCB43,PCC4F7DCE,
PTP,VCD2F,PC8BCEB19,
PTC,VCB43,PCA857A23,
PTC,VC965,PC62E1338,
PTE,VCB43,PCBD66B01,
PTC,VCB43,PCE36658B,
PTE,VC965,PC52D063A,
PTE,VCB43,PC7BEFC3B,
PTP,VC965,PC8DF4919,
PTE,VC965,PC0EC3E54,
PTC,VC965,PCEF5C190,
PTC,VCD2F,PCB077F18,
PTC,VC965,PC3CCA187,
PTP,VC965,PC016D687,
PTE,VCB43,PC4967767,
PTE,VC965,PC5149039,
PTE,VC965,PC4061987,
PTC,VCB43,PCC9756B2,
PTE,VCB43,PCC30C735,
PTP,VC965,PC4F78F1B,
PTC,VC965,PC85224D1,
PTP,VC965,PC53B475D,
PTC,VCB43,PC47300D9,
PTE,VC965,PC85224D1,
PTP,VCD2F,PCAC345FD,
PTE,VC965,PCCBCFEDE,
PTE,VC965,PC953B572,
PTP,VCD2F,PC1DA31F7,
PTP,VCB43,PC29D136F,
PTP,VC965,PCE45DE8D,
PTE,VC965,PC818101A,
PTE,VC965,PC5D6563A,
PTP,VC965,PC5AB6779,
PTP,VCB43,PC7A260F1,
PTP,VC965,PC822E359,
PTP,VC965,PCCD7399B,
PTC,VC965,PC704EF75,
PTE,VC965,PCE32D2F9,
PTE,VC965,PC75BC2DF,
PTC,VC965,PC425C6EC,
PTE,VCB43,PCEECD973,
PTC,VC965,PC3338D42,
PTP,VC965,PC30FC453,
PTP,VC965,PCCEEF65A,
PTP,VCD2F,PCC0E943C,
PTP,VCD2F,PC9EBEDB5,
PTP,VC965,PCF5D4B0A,
PTE,VC965,PC9EBEDB5,
PTP,VC965,PC4B0DCD2,
PTE,VC965,PCDF9F773,
PTP,VC965,PC0D83A1E,
PTP,VCD2F,PC637A425,
PTC,VC965,PC73BE1E2,
PTP,VC965,PC55432DA,
PTP,VCD2F,PC19D06B0,
PTC,VC965,PC1A3D20B,
PTC,VC965,PCE9C770E,
PTC,VC965,PCAA67227,
PTE,VC965,PCA8A9AA8,
PTE,VC965,PCF0B5E85,
PTP,VC965,PC926F0A9,
PTP,VCB43,PCD9C5406,
PTP,VC965,PC6CC51DA,
PTE,VC965,PC08F56A1,
PTE,VC965,PC2125618,
PTP,VC965,PC36675CE,
PTC,VCB43,PC9C3D708,
PTP,VC965,PCDADB8C6,
PTE,VC965,PC2EBEAB9,
PTC,VCD2F,PC6C80A46,
PTP,VC965,PC0553E32,
PTP,VCD2F,PCACF7982,
PTE,VC965,PC29D136F,
PTP,VC965,PCCA71D2C,
PTE,VC965,PC0F0AB4E,
PTE,VC965,PC51FDD60,
PTC,VC965,PC6F25DF0,
PTE,VCB43,PCBE8B2AB,
PTP,VC965,PCEECA8B2,
PTE,VCB43,PCFE7F7FE,
PTC,VC965,PC81776BA,
PTE,VC965,PC680DEC6,
PTE,VC965,PCEEC0DB3,
PTC,VC965,PCB30E45F,
PTC,VC965,PC86E9EB7,
PTE,VC965,PC52EA95D,
PTE,VC965,PC94E7A96,
PTC,VC965,PC93AAEC9,
PTE,VC965,PC40C2E00,
PTE,VC965,PC06E9A80,
PTP,VC965,PCDE5402C,
PTE,VCD2F,PC91E3A87,
PTE,VCD2F,PC4A40D50,
PTC,VC965,PC3AA93E6,
PTP,VC965,PC9889263,
PTE,VC965,PCB2CC82C,
PTP,VC965,PC99AE725,
PTC,VCD2F,PC8C7C5D7,
PTP,VC965,PC818101A,
PTC,VCD2F,PC79E328A,
PTP,VCB43,PC7AA5B2F,
PTP,VCB43,PC89A3BCF,
PTE,VC965,PCF0B5E85,
PTC,VCB43,PC9B747F8,
PTP,VCB43,PC93CE517,
PTE,VC965,PC155D90A,
PTP,VC965,PC52E7369,
PTE,VC965,PC81E83B9,
PTP,VC965,PCE7A4F34,
PTP,VC965,PCF858E11,
