id,Type_of_payment_code,Vehicle_code
PCA4DF48A,PTP,VCD2F
PC9C3D708,PTE,VCD2F
PC2111CF9,PTC,VCD2F
PC8806694,PTC,VC965
PC434FA62,PTE,VC965
PC684859B,PTP,VC965
PC2AFCB31,PTC,VC965
PCE7F2748,PTC,VC965
PC7241796,PTE,VC965
PCB4FF8FA,PTP,VC965
PCB30E45F,PTP,VCB43
PC7688C61,PTE,VCB43
PCBE6ABE5,PTC,VCB43
PC259547F,PTE,VCB43
PC3863F6A,PTP,VC965
PC46C4A27,PTC,VC965
PC8C7C5D7,PTE,VC965
PC9AF321D,PTC,VCB43
PC454F09B,PTC,VC965
PC51FDD60,PTE,VCD2F
PC77793DF,PTC,VCD2F
PC1D9ADA9,PTP,VC965
PC11E9595,PTP,VCB43
PC434FA62,PTP,VC965
PC851E565,PTC,VC965
PC2C5C1F3,PTC,VCB43
PC13CB69B,PTP,VC965
PCEC57A8E,PTC,VC965
PC34ECAB5,PTC,VCD2F
PCA283923,PTC,VC965
PC6E93A05,PTC,VC965
PCEC030F2,PTP,VC965
PCE9CE23F,PTP,VC965
PC8C9B099,PTP,VC965
PC95F5F6B,PTE,VC965
PC119E3A6,PTP,VCB43
PC1ECBA39,PTE,VC965
PCF2ECD29,PTC,VCB43
PC400DFFE,PTP,VCB43
PC0D2B95C,PTC,VC965
PC77793DF,PTC,VCB43
PC3AA93E6,PTE,VCD2F
PC8473A64,PTP,VC965
PC4E6422C,PTP,VC965
PC99B9343,PTP,VC965
PC374C341,PTP,VC965
PCFBF2259,PTC,VC965
PCA52F720,PTP,VCB43
PC19CE0DB,PTC,VC965
PC94168A2,PTP,VCB43
PCF1979AE,PTP,VCD2F
PC90346C9,PTP,VC965
PCA6127FF,PTP,VCB43
PC419B1CB,PTC,VC965
PC585BD38,PTP,VCB43
PCC0E943C,PTC,VC965
PC69C7DF3,PTP,VCB43
PCEDD7E85,PTE,VC965
PC5E524A1,PTE,VC965
PCB4FF8FA,PTE,VC965
PC8DFFE65,PTP,VC965
PCBE8B2AB,PTE,VCB43
PCE9C770E,PTE,VC965
PCBB055C6,PTE,VC965
PC0567192,PTP,VC965
PCFDB2BA6,PTC,VCB43
PC5EC8DF5,PTP,VCB43
PCB500A9F,PTE,VCB43
PC8806694,PTP,VCB43
PC576AD85,PTE,VC965
PCE45DE8D,PTP,VC965
PCE4C5D8E,PTE,VC965
PCE450C55,PTE,VCB43
PC7368097,PTC,VC965
PC126524C,PTC,VC965
PCF4A9637,PTE,VC965
PC03AE86F,PTP,VC965
PCE78024A,PTE,VCB43
PC40BD0F3,PTP,VC965
PC52EA95D,PTE,VCD2F
PC4CD2B81,PTP,VCD2F
PC869BDE8,PTE,VC965
PC46C4A27,PTE,VC965
PCF86214E,PTE,VC965
PC6700C62,PTC,VCB43
PCB0994D1,PTE,VCB43
PC57036DA,PTP,VCD2F
PC68969FB,PTC,VC965
PCB99E8F9,PTC,VCB43
PCC695DB0,PTC,VC965
PC75BC2DF,PTP,VC965
PC10C50DC,PTE,VC965
PC93E7766,PTE,VCB43
PC8C9B099,PTC,VC965
PCB02917E,PTE,VC965
PCCAFD014,PTC,VC965
PCA283923,PTP,VC965
PCCA36E4D,PTC,VC965
PC34ECAB5,PTC,VCB43
PC1D57D7F,PTC,VC965
PC21A1833,PTC,VCB43
PC29D136F,PTE,VC965
PC48664B7,PTE,VCD2F
PCCCAD2AC,PTE,VC965
PCB524A9F,PTC,VCB43
PC76FDDEA,PTE,VC965
PCF9CCB5A,PTC,VC965
PC1A58039,PTE,VCD2F
PC0AE9E1B,PTC,VCB43
PC924C594,PTC,VCB43
PCC825DB2,PTE,VC965
PC96AD1EB,PTP,VCB43
PC71D433F,PTC,VC965
PC2804C85,PTE,VC965
PCB524A9F,PTP,VC965
PC2C2EF9E,PTE,VC965
PC16E79D4,PTP,VCB43
PC883FCA9,PTC,VC965
PCCE12794,PTE,VC965
PC88494D0,PTP,VC965
PC1085B78,PTC,VCD2F
PC1E0F3B6,PTP,VCD2F
PC119E3A6,PTE,VCD2F
PC4A5D62F,PTP,VC965
PC99A4177,PTC,VC965
PCE1DDBB4,PTE,VC965
PCB7F1F8A,PTE,VC965
PC40E6113,PTC,VC965
PCA92F2BD,PTC,VC965
PC4A40D50,PTP,VCD2F
PCF7F25B7,PTC,VC965
PCF775FA6,PTE,VCB43
PC340B4DE,PTE,VC965
PC8CA1B15,PTC,VC965
PC13CB69B,PTP,VC965
PCA965149,PTE,VC965
PC6802C08,PTE,VCB43
PC5EC8DF5,PTP,VC965
PC6BCA05F,PTC,VC965
PCE29AA1A,PTP,VC965
PCC48608C,PTC,VC965
PC78D4122,PTE,VCD2F
PCC6DD8D5,PTE,VCD2F
PC03A5F23,PTP,VCB43
PCB99E8F9,PTP,VC965
PC2C2EF9E,PTE,VCB43
PCB616FAD,PTC,VC965
PCEBBFFB5,PTP,VC965
PC5738A82,PTP,VC965
PCC3E4ADA,PTC,VC965
PCFDB2BA6,PTC,VC965
PC7F7FFF0,PTP,VCB43
PC3AF69A3,PTC,VC965
PCFE28E92,PTC,VCD2F
PC397AFA3,PTE,VC965
PC6A4F55F,PTP,VC965
PC05BD3DF,PTC,VC965
PCA6403C1,PTC,VC965
PC4E1366E,PTE,VC965
PC5E524A1,PTP,VCB43
PCF135377,PTC,VC965
PC4645718,PTE,VCD2F
PC5ABB8E4,PTC,VC965
PCD987A9D,PTP,VCB43
PC30AAE76,PTC,VC965
PCAD363FC,PTP,VC965
PC79BCF60,PTE,VCB43
PC77793DF,PTP,VCB43
PC0214185,PTE,VCB43
PC6558A56,PTC,VC965
PC05C2F86,PTE,VC965
PC48D61BB,PTC,VCD2F
PC494D54E,PTP,VC965
PC9FB4E82,PTC,VC965
PCE0A2A2F,PTP,VC965
PC2EFBBE0,PTE,VC965
PCAA9F518,PTC,VC965
PC8140983,PTP,VCB43
PC20BD6E6,PTC,VC965
PCAD79413,PTE,VC965
PC5A6D86E,PTP,VC965
PCCE002E5,PTP,VCB43
PC0A5DC1F,PTE,VC965
PC3A23C14,PTC,VC965
PC52E7369,PTC,VC965
PCCC0D001,PTE,VCD2F
PC8FC83B3,PTC,VCB43
PCF9CCB5A,PTP,VC965
PCF6EECB2,PTP,VC965
PC85A4D4B,PTC,VC965
PC394C979,PTE,VC965
PC3A63A79,PTE,VC965
PCC30C735,PTP,VCD2F
PCA06B2F1,PTP,VC965
PCDBBCB68,PTP,VC965
PC3D58C5E,PTC,VCD2F
PC19C02F1,PTP,VC965
PC4B0DCD2,PTC,VC965
PC0A5DC1F,PTC,VCD2F
PCC48E3A8,PTP,VC965
PC99BB7A3,PTE,VC965
PC637A425,PTP,VCB43
PC99F9ABD,PTE,VCD2F
PC12AA919,PTE,VC965
PCAD363FC,PTP,VC965
PC7F7FFF0,PTC,VC965
PC356AE8F,PTE,VC965
PC7ACFF7C,PTP,VCB43
PC45EBEBC,PTP,VCB43
PC81E83B9,PTP,VCD2F
PC81E83B9,PTC,VCD2F
PCF891CEB,PTP,VCB43
PCBA86754,PTP,VC965
PCB33ACE8,PTC,VC965
PCE4A44BE,PTE,VC965
PC7655FC1,PTE,VCD2F
PC7305E43,PTP,VC965
PC06E9A80,PTP,VC965
PC3546931,PTC,VCB43
PCAC34A40,PTE,VC965
PC2E0C888,PTE,VCB43
PCCEEF65A,PTC,VC965
PC1A3D20B,PTE,VC965
PC948D5B2,PTE,VC965
PC1D9ADA9,PTE,VCD2F
PC124B4C0,PTC,VC965
PC41B834E,PTE,VC965
PCCCADDBD,PTP,VCB43
PC29D136F,PTP,VC965
PC57279D0,PTE,VC965
PCB325DCD,PTP,VCB43
PC76EDF79,PTP,VC965
PC0BD172F,PTE,VC965
PCAA68777,PTC,VCB43
PC44877F1,PTC,VC965
PC6A4F55F,PTE,VCB43
PC7A54E18,PTC,VC965
PCB6F1968,PTP,VCD2F
PC0EB640E,PTP,VC965
PC395ADCB,PTP,VCB43
PC0214185,PTE,VCB43
PCC48608C,PTE,VCD2F
PCFAB001F,PTE,VC965
PC3547FAD,PTC,VC965
PC5B45CE7,PTC,VC965
PC867796D,PTP,VC965
PC71FE98A,PTE,VC965
PC3BDDA71,PTE,VC965
PC0AE9E1B,PTP,VC965
PCDADB8C6,PTC,VC965
PC89A3BCF,PTP,VC965
PC75BC2DF,PTC,VC965
PCD0DDD3D,PTC,VC965
PC4FA703F,PTE,VC965
PCB7E7138,PTC,VC965
PC74F6341,PTP,VC965
PCACD9839,PTP,VCD2F
PCB7AC8AA,PTE,VC965
PC6C80A46,PTE,VC965
PCDE20E6F,PTE,VC965
PCCB4C86D,PTP,VC965
PC119E3A6,PTC,VC965
PCC1F6F13,PTP,VC965
PC1DA31F7,PTE,VCD2F
PCB335328,PTP,VCB43
PC99BB7A3,PTP,VC965
PCFE28E92,PTE,VC965
PC1AB9C93,PTE,VCB43
PC7A3A5CF,PTE,VC965
PC08910B7,PTP,VC965
PCEF64195,PTP,VC965
PC1B1D964,PTP,VC965
PCA3797CA,PTE,VC965
PCE5E04A2,PTC,VC965
PC71FE98A,PTP,VC965
PC2BE6D87,PTP,VC965
PC74A3585,PTE,VCB43
PCDFCFF53,PTP,VC965
PC73BE1E2,PTE,VC965
PCA857A23,PTC,VC965
PC1DEB043,PTE,VC965
PC6B14C5D,PTP,VC965
PC7E79FA0,PTE,VC965
PC83F544D,PTC,VC965
PC23E470D,PTP,VC965
PC9DFEBB0,PTP,VCB43
PCAA68777,PTC,VCD2F
PC07289CF,PTP,VC965
PC93E7766,PTP,VC965
PCECEBBFA,PTC,VC965
PC40E6113,PTE,VC965
PCF9CCB5A,PTE,VC965
PC7C55512,PTC,VC965
PC526B1EC,PTE,VCB43
PCDC5C9E2,PTP,VC965
PC0D83A1E,PTP,VCB43
PC87C8BC4,PTP,VC965
PC98F856D,PTE,VC965
PC174C464,PTP,VC965
PC87C8BC4,PTC,VCB43
PC948D5B2,PTP,VCB43
PC8A7A22A,PTC,VC965
PC5F47DCF,PTP,VCB43
PC3FD65C8,PTE,VC965
PC08F56A1,PTC,VCB43
PC7D7AE48,PTC,VC965
PCDFC1E11,PTC,VC965
PC9F22103,PTE,VCB43
PCBB02F92,PTE,VCB43
PCE32D2F9,PTE,VC965
PC8616CD8,PTE,VC965
PCF8D98DC,PTC,VC965
PC93E7766,PTC,VC965
PCCB12F8C,PTE,VC965
PCB1B5BEC,PTE,VCD2F
PCD175301,PTP,VCB43
PCCA5979C,PTC,VC965
PC262D624,PTE,VC965
PCC6A4CD8,PTE,VC965
PC19F3DBB,PTE,VC965
PC03C5C15,PTP,VCB43
PC578F087,PTP,VC965
PC1585DF2,PTE,VCB43
PCC3608EC,PTP,VCB43
PC0A63844,PTP,VC965
PC7AA5B2F,PTC,VC965
PC3C8B99E,PTE,VC965
PC0B2B03E,PTC,VC965
PCB6A16D7,PTE,VCB43
PC70B7987,PTP,VC965
PC4B0DCD2,PTP,VC965
PC85224D1,PTE,VC965
PC419F41D,PTC,VCD2F
PC3546931,PTP,VCD2F
PC4D892D7,PTE,VC965
PC5F1CD83,PTC,VC965
PCBB02F92,PTP,VCB43
PCFFF6463,PTE,VCB43
PC4CBEFF5,PTC,VC965
PC52C0F45,PTC,VCB43
PC14008D5,PTP,VC965
PC2C1B987,PTC,VC965
PC795A0A3,PTE,VC965
PCD51A740,PTP,VC965
PC5EBC1E1,PTP,VC965
PCAE085FE,PTE,VC965
PC5F47DCF,PTP,VCB43
PC485BE5B,PTC,VC965
PCC5E1C04,PTE,VC965
PC52F533C,PTE,VCB43
PCA227C6B,PTP,VCD2F
PC1EEDA04,PTE,VCD2F
PCAC7E4C1,PTE,VCB43
PC30AAE76,PTC,VCB43
PCA579A65,PTE,VC965
PC28E44E2,PTE,VC965
PCA6127FF,PTE,VCB43
PCB278A8B,PTC,VC965
PCBD66B01,PTE,VCB43
PC8ED616E,PTE,VC965
PCA770E5A,PTC,VCD2F
PC186BCA8,PTP,VC965
PC76FDDEA,PTP,VC965
PC4C9B108,PTP,VC965
PCF0B5E85,PTE,VC965
PCA10FFA0,PTC,VC965
PCDFCFF53,PTC,VCB43
PCD9CAD56,PTP,VCB43
PCC4F7DCE,PTE,VCB43
PC8BCEB19,PTP,VCD2F
PCA857A23,PTC,VCB43
PC62E1338,PTC,VC965
PCBD66B01,PTE,VCB43
PCE36658B,PTC,VCB43
PC52D063A,PTE,VC965
PC7BEFC3B,PTE,VCB43
PC8DF4919,PTP,VC965
PC0EC3E54,PTE,VC965
PCEF5C190,PTC,VC965
PCB077F18,PTC,VCD2F
PC3CCA187,PTC,VC965
PC016D687,PTP,VC965
PC4967767,PTE,VCB43
PC5149039,PTE,VC965
PC4061987,PTE,VC965
PCC9756B2,PTC,VCB43
PCC30C735,PTE,VCB43
PC4F78F1B,PTP,VC965
PC85224D1,PTC,VC965
PC53B475D,PTP,VC965
PC47300D9,PTC,VCB43
PC85224D1,PTE,VC965
PCAC345FD,PTP,VCD2F
PCCBCFEDE,PTE,VC965
PC953B572,PTE,VC965
PC1DA31F7,PTP,VCD2F
PC29D136F,PTP,VCB43
PCE45DE8D,PTP,VC965
PC818101A,PTE,VC965
PC5D6563A,PTE,VC965
PC5AB6779,PTP,VC965
PC7A260F1,PTP,VCB43
PC822E359,PTP,VC965
PCCD7399B,PTP,VC965
PC704EF75,PTC,VC965
PCE32D2F9,PTE,VC965
PC75BC2DF,PTE,VC965
PC425C6EC,PTC,VC965
PCEECD973,PTE,VCB43
PC3338D42,PTC,VC965
PC30FC453,PTP,VC965
PCCEEF65A,PTP,VC965
PCC0E943C,PTP,VCD2F
PC9EBEDB5,PTP,VCD2F
PCF5D4B0A,PTP,VC965
PC9EBEDB5,PTE,VC965
PC4B0DCD2,PTP,VC965
PCDF9F773,PTE,VC965
PC0D83A1E,PTP,VC965
PC637A425,PTP,VCD2F
PC73BE1E2,PTC,VC965
PC55432DA,PTP,VC965
PC19D06B0,PTP,VCD2F
PC1A3D20B,PTC,VC965
PCE9C770E,PTC,VC965
PCAA67227,PTC,VC965
PCA8A9AA8,PTE,VC965
PCF0B5E85,PTE,VC965
PC926F0A9,PTP,VC965
PCD9C5406,PTP,VCB43
PC6CC51DA,PTP,VC965
PC08F56A1,PTE,VC965
PC2125618,PTE,VC965
PC36675CE,PTP,VC965
PC9C3D708,PTC,VCB43
PCDADB8C6,PTP,VC965
PC2EBEAB9,PTE,VC965
PC6C80A46,PTC,VCD2F
PC0553E32,PTP,VC965
PCACF7982,PTP,VCD2F
PC29D136F,PTE,VC965
PCCA71D2C,PTP,VC965
PC0F0AB4E,PTE,VC965
PC51FDD60,PTE,VC965
PC6F25DF0,PTC,VC965
PCBE8B2AB,PTE,VCB43
PCEECA8B2,PTP,VC965
PCFE7F7FE,PTE,VCB43
PC81776BA,PTC,VC965
PC680DEC6,PTE,VC965
PCEEC0DB3,PTE,VC965
PCB30E45F,PTC,VC965
PC86E9EB7,PTC,VC965
PC52EA95D,PTE,VC965
PC94E7A96,PTE,VC965
PC93AAEC9,PTC,VC965
PC40C2E00,PTE,VC965
PC06E9A80,PTE,VC965
PCDE5402C,PTP,VC965
PC91E3A87,PTE,VCD2F
PC4A40D50,PTE,VCD2F
PC3AA93E6,PTC,VC965
PC9889263,PTP,VC965
PCB2CC82C,PTE,VC965
PC99AE725,PTP,VC965
PC8C7C5D7,PTC,VCD2F
PC818101A,PTP,VC965
PC79E328A,PTC,VCD2F
PC7AA5B2F,PTP,VCB43
PC89A3BCF,PTP,VCB43
PCF0B5E85,PTE,VC965
PC9B747F8,PTC,VCB43
PC93CE517,PTP,VCB43
PC155D90A,PTE,VC965
PC52E7369,PTP,VC965
PC81E83B9,PTE,VC965
PCE7A4F34,PTP,VC965
PCF858E11,PTP,VC965
PCF63C15F,PTP,VC965
PC07BF95F,PTE,VCB43
PCCB2657A,PTC,VC965
PC36C6441,PTP,VC965
PC4F78F1B,PTP,VC965
PC787D664,PTE,VCB43
PC51A39A7,PTC,VC965
PC82A16E6,PTC,VC965
PC2E0C888,PTE,VCD2F
PCC4F7DCE,PTC,VC965
PCACD1BEE,PTP,VC965
PCFDB2BA6,PTP,VCB43
PC3FB1BB6,PTP,VCB43
PCBABD060,PTP,VCB43
PC0AB2B55,PTP,VC965
PC155D90A,PTC,VC965
PCDA37101,PTE,VC965
PC04EDDB4,PTC,VC965
PCF5E7754,PTE,VCB43
PC70B7987,PTP,VCB43
PC1592ACA,PTE,VC965
PCDE1D204,PTP,VC965
PCA579A65,PTC,VC965
PCAC9371E,PTE,VC965
PCCCAD2AC,PTP,VC965
PC0CF9451,PTE,VC965
PC148C815,PTE,VCD2F
PCD51A740,PTE,VC965
PC77793DF,PTE,VC965
PC5D4DE09,PTC,VCD2F
PCDD56814,PTC,VC965
PCA4D3E9B,PTP,VC965
PCAD79413,PTE,VC965
PC8DD921E,PTP,VC965
PC3137434,PTE,VC965
PCB070250,PTE,VC965
PCD66314D,PTE,VCB43
PC59F4E22,PTP,VC965
PC0AB2B55,PTE,VC965
PCC7B407A,PTC,VC965
PCF31BD97,PTE,VC965
PC6203962,PTE,VC965
PC126524C,PTC,VCB43
PCFAB001F,PTC,VCD2F
PC6B14C5D,PTC,VC965
PC1FE6483,PTP,VC965
PC0D83A1E,PTC,VC965
PCF5D4B0A,PTC,VC965
PC821BC98,PTC,VC965
PCBB02F92,PTP,VC965
PC3E474F6,PTE,VC965
PCF5E0389,PTC,VC965
PC0553E32,PTE,VC965
PCDED6F20,PTC,VC965
PC07F012A,PTP,VC965
PC16E79D4,PTE,VC965
PC7F7FFF0,PTC,VC965
PC68969FB,PTP,VCB43
PC7D68CD9,PTE,VC965
PCE8CBA37,PTE,VCB43
PC1CDFCF6,PTC,VC965
PC5D41947,PTP,VC965
PC22F748B,PTP,VCB43
PCCCADDBD,PTE,VC965
PC03AE86F,PTP,VCB43
PCB1B5BEC,PTC,VCD2F
PC783B5FC,PTP,VC965
PC92A6471,PTP,VC965
PC2387B02,PTC,VCB43
PC983A913,PTC,VC965
PC7607A5D,PTC,VC965
PCB6A16D7,PTP,VC965
PCBF83C7A,PTC,VC965
PC48664B7,PTC,VC965
PC5170BF4,PTC,VC965
PC9DD0BBD,PTP,VCB43
PC5881E06,PTE,VC965
PCD4A1214,PTE,VC965
PC6700C62,PTE,VCD2F
PC47B8825,PTC,VC965
PC43973F9,PTP,VC965
PCEC030F2,PTP,VCD2F
PCCACA741,PTE,VCD2F
PCD6E5E77,PTP,VC965
PC19F3DBB,PTP,VC965
PCEF56843,PTP,VCB43
PC388BB83,PTE,VCD2F
PCA33A9A8,PTC,VCB43
PC948D5B2,PTP,VCB43
PC6150735,PTE,VC965
PCF712D1A,PTP,VC965
PC526B1EC,PTE,VCB43
PCA26D872,PTE,VCB43
PC857F4A0,PTP,VCB43
PC0F6325D,PTE,VCB43
PC71D433F,PTC,VCD2F
PC8F4AF85,PTE,VCD2F
PC5EBC1E1,PTE,VC965
PC5ABB8E4,PTP,VCB43
PCBEB4D23,PTE,VC965
PC13CB69B,PTC,VC965
PCAC7E4C1,PTE,VCB43
PC2B868A9,PTC,VCD2F
PC8DFF744,PTC,VC965
PC6AA246E,PTP,VC965
PC94DC1E6,PTE,VC965
PCAA9F518,PTE,VC965
PCDE89544,PTC,VC965
PCFEAE55E,PTP,VC965
PC704EF75,PTC,VCB43
PCCF6A454,PTP,VCB43
PCBE1B45D,PTC,VC965
PC308070B,PTC,VC965
PCB3DF742,PTC,VC965
PC47FBB07,PTC,VC965
PC2111CF9,PTE,VCD2F
PC90D44D0,PTC,VC965
PC5030572,PTC,VC965
PCDC5C9E2,PTP,VC965
PC251D4C1,PTC,VC965
PC07F012A,PTE,VC965
PCCC8F243,PTC,VC965
PC2E2E0C0,PTC,VCD2F
PC88494D0,PTE,VC965
PCBDD55F1,PTE,VC965
PCEF3EBBC,PTE,VC965
PC374C341,PTP,VC965
PCBE8B2AB,PTP,VC965
PCEC030F2,PTP,VCD2F
PCEF56843,PTC,VCD2F
PC5F47DCF,PTC,VC965
PC6EFC03B,PTE,VC965
PCE5BA2CE,PTP,VC965
PCF775FA6,PTC,VCB43
PC19C02F1,PTP,VC965
PC8473A64,PTC,VC965
PCACF7982,PTP,VCB43
PC1E49F6B,PTC,VC965
PCC943ECD,PTE,VC965
PCB905D54,PTE,VCD2F
PC18C31F6,PTE,VCB43
PCA4DF48A,PTP,VCB43
PC4C95CA2,PTE,VCB43
PC0D83A1E,PTP,VC965
PCAD89FE3,PTE,VCB43
PCBABD060,PTC,VCB43
PCF764517,PTE,VCB43
PC44E2F09,PTP,VC965
PC04EDDB4,PTC,VC965
PC3CCA187,PTC,VC965
PC666483B,PTP,VC965
PC1E2B07E,PTC,VCD2F
PC0A50259,PTE,VC965
PCD30AB50,PTP,VCD2F
PCD987A9D,PTP,VCD2F
PC36C9AE8,PTP,VC965
PC14008D5,PTC,VC965
PCDE5402C,PTC,VC965
PC8FE0901,PTP,VCD2F
PC0AB9251,PTE,VC965
PC1A58039,PTP,VCD2F
PC0B32B5B,PTC,VC965
PC10C700F,PTE,VC965
PC4061987,PTP,VCB43
PC93AAEC9,PTP,VC965
PCC347465,PTE,VCD2F
PC4D892D7,PTC,VC965
PCF9F4940,PTC,VC965
PC7F02ED3,PTP,VCB43
PCF31BD97,PTC,VC965
PCB6F1968,PTC,VCB43
PC72FE04B,PTC,VC965
PC1B1D964,PTP,VCB43
PCEBE834B,PTC,VC965
PC89C1789,PTP,VCB43
PCFA0E4C0,PTC,VC965
PC251D4C1,PTC,VCB43
PC9FB4E82,PTE,VC965
PCCEEF65A,PTC,VC965
PCA857A23,PTE,VCB43
PCC48608C,PTP,VCB43
PC3546931,PTC,VCB43
PC637A425,PTE,VC965
PC7607A5D,PTE,VC965
PC11E9595,PTC,VC965
PC76FDDEA,PTP,VCD2F
PCBB055C6,PTC,VC965
PC52D063A,PTP,VC965
PC3777B8E,PTC,VC965
PCCCADDBD,PTE,VC965
PC909A324,PTE,VC965
PC7C55512,PTC,VCB43
PC99BB7A3,PTP,VCB43
PC6DC0ACF,PTP,VCD2F
PCA76178F,PTP,VC965
PCE952492,PTP,VC965
PC30AAE76,PTP,VC965
PCAC7E4C1,PTE,VC965
PC44E2F09,PTE,VC965
PCA3797CA,PTE,VCB43
PC2C2EF9E,PTC,VCB43
PCA32686D,PTP,VC965
PC2AFCB31,PTC,VCB43
PC06E8A1C,PTC,VC965
PCC8FE9C6,PTC,VCD2F
PCB86D2E1,PTC,VC965
PC5881E06,PTE,VCB43
PC16F59EC,PTE,VCB43
PCEBEEE05,PTE,VC965
PC7E4F42A,PTE,VCB43
PCC30C735,PTP,VCB43
PC797AEBF,PTE,VC965
PC2F353E1,PTE,VCB43
PCA33A9A8,PTC,VCB43
PCAE45EC0,PTE,VC965
PCF6EECB2,PTC,VC965
PC69C7DF3,PTP,VC965
PCBDB8BB6,PTP,VC965
PC0D3474E,PTP,VC965
PC15EC378,PTE,VC965
PC0D83A1E,PTP,VC965
PC356AE8F,PTE,VC965
PC851E565,PTC,VCB43
PC8616CD8,PTE,VC965
PC1B1D964,PTC,VCB43
PC6AA246E,PTC,VC965
PCA276EBB,PTE,VCB43
PC4A5D62F,PTE,VC965
PCA965149,PTE,VC965
PC42A3AB0,PTC,VC965
PC5881E06,PTP,VC965
PCEECD973,PTE,VCB43
PC1269226,PTP,VC965
PC5CAF0A7,PTP,VC965
PC16F59EC,PTE,VCB43
PC86B0D7B,PTC,VC965
PCA32686D,PTP,VC965
PCED2DB6F,PTE,VCD2F
PC46BE0B2,PTE,VC965
PCB86D2E1,PTC,VC965
PC91E3A87,PTC,VCB43
PC17F8052,PTE,VC965
PCBA5D8AB,PTP,VCB43
PC016D687,PTC,VC965
PCE1EA438,PTE,VCB43
PC51A39A7,PTP,VC965
PC7AA5B2F,PTC,VCB43
PC628DCED,PTC,VCD2F
PCB3DF742,PTP,VC965
PCCBCFEDE,PTE,VC965
PCCB2657A,PTE,VC965
PC3AA93E6,PTC,VC965
PCDE89544,PTE,VCB43
PC3A63A79,PTE,VC965
PC89C1789,PTE,VC965
PC3A23C14,PTC,VC965
PC98750ED,PTP,VC965
PCF8F6133,PTC,VC965
PC0A63844,PTP,VC965
PCDF73A3C,PTP,VC965
PC9764C98,PTC,VC965
PCA6127FF,PTC,VC965
PC5295A46,PTC,VC965
PCED7EAFE,PTE,VC965
PC785D63F,PTC,VC965
PCCC0D001,PTC,VC965
PC90346C9,PTC,VCB43
PC14008D5,PTC,VC965
PC44877F1,PTC,VC965
PC8473A64,PTC,VC965
PC1DEB043,PTE,VCB43
PC72FE04B,PTP,VCB43
PC42A3AB0,PTE,VC965
PCCFD9AB6,PTE,VCB43
PC69DE15C,PTP,VC965
PC95F5F6B,PTC,VC965
PC0D3474E,PTC,VCB43
PC71FE98A,PTC,VC965
PCE60D320,PTE,VCB43
PC51D1059,PTP,VC965
PC871C1FC,PTE,VC965
PC262D624,PTP,VC965
PCECEBBFA,PTE,VCD2F
PC0282AE7,PTP,VC965
PCD8D05D7,PTE,VC965
PC2F1A066,PTE,VCB43
PC39B17A9,PTC,VC965
PCF8BB245,PTC,VC965
PC6C80A46,PTE,VCB43
PC3172195,PTC,VC965
PCDE89544,PTE,VCD2F
PC69C7DF3,PTP,VC965
PCAD3B9BC,PTC,VC965
PC0C535B6,PTE,VC965
PC95BD14B,PTP,VC965
PCDD56814,PTP,VC965
PCB27CFF1,PTE,VC965
PC2308E9E,PTC,VCD2F
PC00AE965,PTE,VCB43
PC5738A82,PTE,VC965
PC7F7FFF0,PTP,VC965
PCE32D2F9,PTC,VCB43
PCA4DF48A,PTC,VC965
PCCA288FE,PTC,VC965
PCBB055C6,PTC,VCD2F
PC36C9AE8,PTC,VC965
PC845CEA6,PTP,VC965
PC040ADB3,PTP,VC965
PC91E3A87,PTC,VC965
PCA52F720,PTC,VC965
PC09BDC08,PTC,VCB43
PC40E6113,PTE,VC965
PC4F71E72,PTP,VC965
PC4C9B108,PTP,VC965
PC8CA1B15,PTP,VC965
PC883FCA9,PTP,VC965
PC5AB6779,PTE,VCB43
PC58105BF,PTE,VCB43
PC9787B8A,PTP,VCB43
PC871C1FC,PTE,VCD2F
PCE5BA2CE,PTE,VC965
PC8FC83B3,PTP,VC965
PC95BD14B,PTP,VCB43
PC857F4A0,PTP,VC965
PCF263A5E,PTE,VC965
PCEBE834B,PTP,VC965
PCC5E1C04,PTE,VC965
PC394C979,PTC,VC965
PC62E1338,PTC,VC965
PC63FF017,PTP,VCD2F
PC81776BA,PTE,VC965
PC3777B8E,PTE,VCB43
PC86E9EB7,PTE,VCB43
PC6A1B37B,PTC,VCB43
PC99F9ABD,PTP,VCD2F
PC78EF0B5,PTC,VCB43
PC1A58039,PTP,VC965
PC4E6422C,PTE,VCB43
PC3CCA187,PTE,VCB43
PC1BDA119,PTC,VC965
PCA76178F,PTC,VC965
PCAC01231,PTC,VC965
PC23E470D,PTE,VC965
PCF733A7C,PTP,VC965
PC11DCA73,PTC,VC965
PC6700C62,PTC,VC965
PC91E3A87,PTE,VC965
PC7E22FD8,PTC,VCD2F
PC0954183,PTE,VCB43
PC0EF5BA6,PTP,VC965
PC5CAF0A7,PTE,VC965
PC9C7C18E,PTE,VC965
PC5F1CD83,PTC,VC965
PC21A1833,PTC,VC965
PC0D2B95C,PTP,VCD2F
PC0671DD4,PTP,VCB43
PC3E474F6,PTC,VC965
PCC3BCE65,PTE,VC965
PC5B2AFFA,PTP,VC965
PC23BA77A,PTP,VCD2F
PC7E79FA0,PTC,VCB43
PC47300D9,PTP,VCB43
PCEBE834B,PTP,VC965
PC84D9FC1,PTP,VC965
PCEFF6088,PTE,VCB43
PC924C594,PTP,VC965
PCEB27C63,PTE,VCD2F
